scientific_name,preferred_common_name,habitat,genus,family,family_order,breeding_population,winter_visitor_population
Poecile montanus,Willow Tit,,Poecile,Paridae,Passeriformes,"2,750-",
Lophophanes cristatus,Crested Tit,,Lophophanes,Paridae,Passeriformes,"(1,000–2,000)",
Periparus ater,Coal Tit,,Periparus,Paridae,Passeriformes,660000,
Cyanistes caeruleus,Blue Tit,,Cyanistes,Paridae,Passeriformes,3400000,
Curruca melanothorax,Cyprus Warbler,terrestrial,Curruca,Sylviidae,Passeriformes,,
Curruca minula,Desert Whitethroat,terrestrial,Curruca,Sylviidae,Passeriformes,,
Curruca conspicillata,Spectacled Warbler,terrestrial,Curruca,Sylviidae,Passeriformes,,
Curruca nisoria,Barred Warbler,terrestrial,Curruca,Sylviidae,Passeriformes,,
Curruca ruppeli,Rüppell's Warbler,terrestrial,Curruca,Sylviidae,Passeriformes,,
Curruca crassirostris,Eastern Orphean Warbler,terrestrial,Curruca,Sylviidae,Passeriformes,,
Curruca subalpina,Moltoni's Subalpine Warbler,terrestrial,Curruca,Sylviidae,Passeriformes,,
Curruca communis,Whitethroat,terrestrial,Curruca,Sylviidae,Passeriformes,1100000,
Curruca melanocephala,Sardinian Warbler,terrestrial,Curruca,Sylviidae,Passeriformes,,
Curruca sarda,Marmora's Warbler,terrestrial,Curruca,Sylviidae,Passeriformes,,
Curruca cantillans,Eastern Subalpine Warbler,terrestrial,Curruca,Sylviidae,Passeriformes,,
Curruca undata,Dartford Warbler,terrestrial,Curruca,Sylviidae,Passeriformes,2200,
Curruca nana,Asian Desert Warbler,terrestrial,Curruca,Sylviidae,Passeriformes,,
Curruca curruca,Lesser Whitethroat,terrestrial,Curruca,Sylviidae,Passeriformes,79000,
Curruca iberiae,Western Subalpine Warbler,terrestrial,Curruca,Sylviidae,Passeriformes,,
Ficedula albicilla,Taiga Flycatcher,,Ficedula,Muscicapidae,Passeriformes,,
Calliope calliope,Siberian Rubythroat,,Calliope,Muscicapidae,Passeriformes,,
Oenanthe finschii,Finsch's Wheatear,,Oenanthe,Muscicapidae,Passeriformes,,
Oenanthe melanoleuca,Eastern Black-eared Wheatear,terrestrial,Oenanthe,Muscicapidae,Passeriformes,,
Larvivora cyane,Siberian Blue Robin,,Larvivora,Muscicapidae,Passeriformes,,
Larvivora sibilans,Rufous-tailed Robin,,Larvivora,Muscicapidae,Passeriformes,,
Saxicola rubicola,Stonechat,,Saxicola,Muscicapidae,Passeriformes,"65,000 (43,000–87,000)",
Saxicola maurus,Siberian Stonechat,,Saxicola,Muscicapidae,Passeriformes,,
Saxicola stejnegeri,Stejneger's Stonechat,,Saxicola,Muscicapidae,Passeriformes,,
Prunella montanella,Siberian Accentor,terrestrial,Prunella,Prunellidae,Passeriformes,,
Leiothlypis peregrina,Tennessee Warbler,terrestrial,Leiothlypis,Parulidae,Passeriformes,,
Parkesia noveboracensis,Northern Waterthrush,,Parkesia,Parulidae,Passeriformes,,
Setophaga pensylvanica,Chestnut-sided Warbler,,Setophaga,Parulidae,Passeriformes,,
Setophaga aestiva,Yellow Warbler,terrestrial,Setophaga,Parulidae,Passeriformes,,
Setophaga coronata,Yellow-rumped Warbler,,Setophaga,Parulidae,Passeriformes,,
Setophaga fusca,Blackburnian Warbler,,Setophaga,Parulidae,Passeriformes,,
Setophaga castanea,Bay-breasted Warbler,,Setophaga,Parulidae,Passeriformes,,
Setophaga tigrina,Cape May Warbler,,Setophaga,Parulidae,Passeriformes,,
Setophaga citrina,Hooded Warbler,,Setophaga,Parulidae,Passeriformes,,
Seiurus aurocapilla,Ovenbird,,Seiurus,Parulidae,Passeriformes,,
Cardellina pusilla,Wilson's Warbler,,Cardellina,Parulidae,Passeriformes,,
Lanius schach,Long-tailed Shrike,,Lanius,Laniidae,Passeriformes,,
Lanius phoenicuroides,Turkestan Shrike,terrestrial,Lanius,Laniidae,Passeriformes,,
Numenius hudsonicus,Hudsonian Whimbrel,,Numenius,Scolopacidae,Charadriiformes,,
Numenius phaeopus,Whimbrel,marine/freshwater,Numenius,Scolopacidae,Charadriiformes,310,41
Limosa lapponica,Bar-tailed Godwit,marine/freshwater,Limosa,Scolopacidae,Charadriiformes,,53500
Tringa erythropus,Spotted Redshank,marine/freshwater,Tringa,Scolopacidae,Charadriiformes,,68
